,site,sensor id,record time,values,1-hour prediction,2-hour prediction,3-hour prediction
0,BG1,BG1-NO2,2021-08-30 15:00:00,7.3,7.0128083,7.5461464,8.87186
0,BG1,BG1-SO2,2021-08-30 15:00:00,2.1,2.1677508,2.2040806,2.1417413
0,BG2,BG2-NO2,2021-08-30 15:00:00,8.8,8.627556,9.811294,11.077573
0,BG2,BG2-PM10,2021-08-30 15:00:00,15.1,15.327772,16.89417,16.49147
0,BQ7,BQ7-NO2,2021-08-30 15:00:00,5.3,5.4117227,5.906612,7.4303813
0,BQ7,BQ7-O3,2021-08-30 15:00:00,59.1,58.291225,57.246677,54.70751
0,BQ7,BQ7-PM10,2021-08-30 15:00:00,13.7,14.670563,14.682878,14.714842
0,BQ8,BQ8-PM10,2021-08-24 07:00:00,11.5,15.225976,19.257215,20.259644
0,BX0,BX0-PM10,2021-08-24 05:00:00,14.8,14.480032,14.781073,15.145651
0,BX1,BX1-NO2,2021-08-27 05:00:00,19.8,20.690514,21.101013,21.082663
0,BX1,BX1-SO2,2021-08-30 15:00:00,2.0,2.1843042,2.387349,2.4529405
0,BX1,BX1-O3,2021-08-30 15:00:00,69.9,69.036934,66.16753,63.452972
0,BX2,BX2-NO2,2021-08-30 15:00:00,6.6,5.9817796,6.6058035,7.0479517
0,BX2,BX2-PM10,2021-08-30 15:00:00,11.2,13.146421,13.401356,13.083743
0,BT4,BT4-NO2,2021-08-30 15:00:00,65.8,61.388187,58.871727,60.565487
0,BT4,BT4-PM10,2021-08-30 15:00:00,26.0,31.75706,35.391888,39.56349
0,BT4,BT4-PM25,2021-08-30 15:00:00,22.0,21.638216,20.278412,20.524208
0,BT5,BT5-NO2,2021-08-30 15:00:00,6.6,8.709516,8.588833,11.012399
0,BT5,BT5-PM10,2021-08-30 15:00:00,6.0,7.7314925,8.928278,9.8529215
0,BT6,BT6-NO2,2021-08-30 15:00:00,11.3,11.413929,11.5957985,13.267079
0,BT6,BT6-PM10,2021-08-30 15:00:00,7.8,9.7935,9.926968,10.285925
0,BT8,BT8-NO2,2021-08-30 15:00:00,20.8,18.364592,18.044704,19.086279
0,BT8,BT8-PM10,2021-08-30 15:00:00,14.0,14.6171875,15.270349,15.570587
0,BY7,BY7-NO2,2021-08-30 15:00:00,16.1,15.915692,16.046446,15.122825
0,BY7,BY7-PM10,2021-08-30 15:00:00,17.0,19.761532,19.79986,19.724419
0,BY7,BY7-PM25,2021-08-30 15:00:00,10.0,9.534708,9.536876,10.246932
0,BL0,BL0-NO2,2021-08-30 15:00:00,19.1,20.015493,20.234041,21.524588
0,BL0,BL0-SO2,2021-08-30 15:00:00,1.3,1.3841195,1.3561901,1.5315667
0,BL0,BL0-O3,2021-08-30 15:00:00,47.9,47.191814,48.02115,47.23444
0,BL0,BL0-PM10,2021-08-30 15:00:00,21.0,21.332518,20.467844,21.213509
0,BL0,BL0-PM25,2021-08-30 15:00:00,7.0,8.024644,7.827654,7.710617
0,CD1,CD1-NO2,2021-08-30 15:00:00,64.8,64.93255,61.836433,61.614124
0,CD1,CD1-PM25,2021-08-30 15:00:00,8.9,8.973578,9.3870735,9.222095
